STATE,DISTRICT,MARGIN
New York,19,25.0
American Samoa,41,25.0
North Carolina,34,25.0
Kentucky,39,25.0
New Hampshire,4,25.0
Washington,7,25.0
Arkansas,32,25.0
Iowa,18,25.0
Maryland,28,25.0
Oregon,0,25.0
Wyoming,9,25.0
Alaska,48,25.0
Hawaii,32,25.0
Alaska,1,25.0
Louisiana,19,25.0
Tennessee,50,25.0
Virginia,10,25.0
Rhode Island,46,25.0
Texas,35,25.0
Arizona,24,25.0
California,43,25.0
Idaho,29,25.0
Montana,20,25.0
Vermont,10,25.0
Tennessee,1,25.0
New Mexico,35,25.0
Florida,32,25.0
Nevada,50,25.0
Illinois,36,25.0
South Carolina,36,25.0
American Samoa,32,25.0
North Carolina,43,25.0
Kansas,47,25.0
Washington,28,25.0
Michigan,22,25.0
Arkansas,41,25.0
Iowa,13,25.0
Maryland,21,25.0
Oregon,11,25.0
Mississippi,48,25.0
Virgin Islands,20,25.0
Alabama,50,25.0
Wyoming,16,25.0
Hawaii,41,25.0
Alaska,8,25.0
Massachusetts,19,25.0
Louisiana,20,25.0
Tennessee,9,25.0
Connecticut,52,25.0
Rhode Island,37,25.0
Texas,42,25.0
Arizona,1,25.0
California,34,25.0
Idaho,6,25.0
Montana,45,25.0
Vermont,5,25.0
New Mexico,40,25.0
Florida,41,25.0
Utah,33,25.0
Nevada,11,25.0
Illinois,35,25.0
South Carolina,45,25.0
Georgia,16,25.0
North Carolina,48,25.0
Pennsylvania,19,25.0
Washington,21,25.0
Arkansas,18,25.0
Iowa,4,25.0
Maryland,18,25.0
Mississippi,15,25.0
Virgin Islands,31,25.0
Northern Mariana Islands,50,25.0
Wyoming,23,25.0
Georgia,8,25.0
Hawaii,50,25.0
Alaska,15,25.0
Missouri,48,25.0
Massachusetts,24,25.0
Louisiana,29,25.0
Tennessee,0,25.0
Connecticut,47,25.0
Texas,45,25.0
Arizona,10,25.0
Idaho,15,25.0
Montana,38,25.0
New Mexico,17,25.0
Florida,50,25.0
Utah,40,25.0
Nevada,0,25.0
Illinois,42,25.0
South Carolina,50,25.0
North Dakota,22,25.0
Missouri,21,25.0
North Dakota,29,25.0
Guam,5,25.0
Washington,42,25.0
Arkansas,27,25.0
Maryland,11,25.0
South Carolina,53,25.0
Mississippi,6,25.0
Virgin Islands,6,25.0
Wyoming,30,25.0
Missouri,14,25.0
Guam,50,25.0
Massachusetts,1,25.0
Tennessee,7,25.0
New Jersey,35,25.0
Connecticut,38,25.0
Alaska,38,25.0
Michigan,39,25.0
Texas,52,25.0
Arizona,51,25.0
Idaho,8,25.0
New York,20,25.0
Massachusetts,49,25.0
Colorado,32,25.0
New Mexico,22,25.0
Utah,51,25.0
District of Columbia,43,25.0
Nevada,25,25.0
Illinois,17,25.0
Minnesota,16,25.0
Oklahoma,8,25.0
North Carolina,6,25.0
Kansas,52,25.0
Maine,52,25.0
New Hampshire,40,25.0
Washington,35,25.0
Arkansas,4,25.0
Maryland,0,25.0
Mississippi,29,25.0
Virgin Islands,9,25.0
Northern Mariana Islands,32,25.0
Nebraska,50,25.0
Massachusetts,6,25.0
Tennessee,30,25.0
Connecticut,33,25.0
Rhode Island,50,25.0
Michigan,46,25.0
Arizona,52,25.0
Alaska,39,25.0
Montana,48,25.0
Vermont,46,25.0
New Mexico,31,25.0
Florida,4,25.0
District of Columbia,32,25.0
Nevada,30,25.0
Illinois,24,25.0
South Carolina,0,25.0
Oklahoma,7,25.0
Ohio,30,25.0
North Carolina,15,25.0
Kansas,45,25.0
New Hampshire,33,25.0
Arkansas,13,25.0
Iowa,49,25.0
Indiana,27,25.0
Mississippi,20,25.0
Virgin Islands,48,25.0
Northern Mariana Islands,39,25.0
Pennsylvania,5,25.0
Alaska,36,25.0
Massachusetts,15,25.0
West Virginia,40,25.0
Tennessee,21,25.0
Rhode Island,9,25.0
Michigan,41,25.0
Hawaii,31,25.0
Georgia,43,25.0
Vermont,41,25.0
New Hampshire,37,25.0
Wisconsin,24,25.0
New Mexico,4,25.0
Florida,13,25.0
Guam,22,25.0
Nevada,23,25.0
Illinois,7,25.0
South Carolina,9,25.0
Oklahoma,30,25.0
Ohio,25,25.0
North Carolina,20,25.0
New York,40,25.0
Kansas,34,25.0
Maine,38,25.0
Nebraska,12,25.0
Washington,49,25.0
Iowa,40,25.0
Indiana,18,25.0
Mississippi,19,25.0
Northern Mariana Islands,46,25.0
Delaware,13,25.0
Alaska,43,25.0
Massachusetts,52,25.0
West Virginia,33,25.0
Minnesota,23,25.0
New York,7,25.0
Massachusetts,0,25.0
Rhode Island,0,25.0
Michigan,48,25.0
Minnesota,39,25.0
Arizona,38,25.0
Missouri,1,25.0
Vermont,32,25.0
Tennessee,24,25.0
Wisconsin,31,25.0
New Mexico,13,25.0
Florida,22,25.0
Utah,4,25.0
Alabama,7,25.0
Illinois,14,25.0
South Carolina,14,25.0
Minnesota,42,25.0
Ohio,16,25.0
North Carolina,29,25.0
Kansas,27,25.0
Maine,33,25.0
Kansas,36,25.0
Colorado,28,25.0
Minnesota,10,25.0
Iowa,35,25.0
Maryland,47,25.0
Indiana,9,25.0
Virgin Islands,34,25.0
Northern Mariana Islands,21,25.0
South Dakota,47,25.0
Delaware,6,25.0
Virginia,44,25.0
West Virginia,26,25.0
Wisconsin,34,25.0
Pennsylvania,49,25.0
Rhode Island,31,25.0
Pennsylvania,46,25.0
Arizona,47,25.0
Kentucky,30,25.0
Wisconsin,22,25.0
Florida,31,25.0
Utah,15,25.0
District of Columbia,15,25.0
South Carolina,23,25.0
Oklahoma,44,25.0
Ohio,11,25.0
Georgia,31,25.0
North Carolina,26,25.0
Kansas,16,25.0
Maine,40,25.0
North Dakota,43,25.0
Pennsylvania,20,25.0
Maryland,36,25.0
Indiana,0,25.0
Virgin Islands,37,25.0
Northern Mariana Islands,28,25.0
South Dakota,32,25.0
Delaware,31,25.0
Massachusetts,34,25.0
Georgia,36,25.0
Rhode Island,22,25.0
Pennsylvania,23,25.0
American Samoa,25,25.0
Kentucky,23,25.0
Wisconsin,13,25.0
Florida,24,25.0
Utah,22,25.0
District of Columbia,4,25.0
South Carolina,28,25.0
Oklahoma,43,25.0
Missouri,28,25.0
Oregon,48,25.0
Kansas,9,25.0
Maine,19,25.0
Alabama,13,25.0
Guam,43,25.0
Guam,12,25.0
Louisiana,35,25.0
Indiana,7,25.0
Virginia,2,25.0
Virgin Islands,44,25.0
Northern Mariana Islands,3,25.0
Delaware,16,25.0
California,27,25.0
Massachusetts,43,25.0
West Virginia,20,25.0
New Jersey,24,25.0
Nebraska,34,25.0
Pennsylvania,24,25.0
American Samoa,16,25.0
Kentucky,8,25.0
Wisconsin,4,25.0
Utah,25,25.0
District of Columbia,29,25.0
Minnesota,25,25.0
Minnesota,29,25.0
Kansas,14,25.0
Maine,26,25.0
Colorado,21,25.0
Wyoming,32,25.0
Georgia,0,25.0
Louisiana,36,25.0
North Dakota,40,25.0
South Dakota,50,25.0
Delaware,41,25.0
California,18,25.0
