STATE,DISTRICT,MARGIN
Illinois,14,0.0
Louisiana,14,0.0
Texas,14,0.0
Virgin Islands,14,0.0
California,14,0.0
Delaware,14,0.0
Georgia,14,0.0
Alaska,14,0.0
Virginia,14,0.0
Rhode Island,14,0.0
Michigan,14,0.0
Iowa,14,0.0
Nevada,14,0.0
North Dakota,14,0.0
North Carolina,14,0.0
New Hampshire,14,0.0
New York,14,0.0
Arkansas,14,0.0
New Mexico,14,0.0
Maine,14,0.0
Northern Mariana Islands,14,0.0
Utah,14,0.0
Indiana,14,0.0
Ohio,14,0.0
Oregon,14,0.0
Guam,14,0.0
West Virginia,14,0.0
Hawaii,14,0.0
Tennessee,14,0.0
Mississippi,14,0.0
American Samoa,14,0.0
Colorado,14,0.0
Wisconsin,14,0.0
Kentucky,14,0.0
South Carolina,14,0.0
Washington,14,0.0
Wyoming,14,0.0
South Dakota,14,0.0
Vermont,14,0.0
Florida,14,0.0
Nebraska,14,0.0
Montana,14,0.0
Minnesota,14,0.0
Alabama,14,0.0
Oklahoma,14,0.0
Arizona,14,0.0
Missouri,14,0.0
Massachusetts,14,0.0
District of Columbia,14,0.0
Idaho,14,0.0
Connecticut,14,0.0
New Jersey,14,0.0
Pennsylvania,14,0.0
Kansas,14,0.0
Maryland,14,0.0
West Virginia,4,0.06999999999999318
American Samoa,4,0.06999999999999318
Colorado,4,0.06999999999999318
Vermont,4,0.06999999999999318
Iowa,4,0.06999999999999318
Wisconsin,4,0.06999999999999318
Indiana,4,0.06999999999999318
Connecticut,4,0.06999999999999318
Guam,4,0.06999999999999318
Virgin Islands,4,0.06999999999999318
Florida,4,0.06999999999999318
North Carolina,4,0.06999999999999318
Minnesota,4,0.06999999999999318
New Hampshire,4,0.06999999999999318
Alabama,4,0.06999999999999318
California,4,0.06999999999999318
Kentucky,4,0.06999999999999318
New York,4,0.06999999999999318
Washington,4,0.06999999999999318
New Mexico,4,0.06999999999999318
Arkansas,4,0.06999999999999318
Wyoming,4,0.06999999999999318
Alaska,4,0.06999999999999318
Virginia,4,0.06999999999999318
Rhode Island,4,0.06999999999999318
Arizona,4,0.06999999999999318
Pennsylvania,4,0.06999999999999318
Mississippi,4,0.06999999999999318
Kansas,4,0.06999999999999318
Oregon,4,0.06999999999999318
Tennessee,4,0.06999999999999318
Missouri,4,0.06999999999999318
Georgia,4,0.06999999999999318
South Dakota,4,0.06999999999999318
Illinois,4,0.06999999999999318
Maine,4,0.06999999999999318
